а												und,aber
Алло_!									Hallo!
ва_за										Vase
Вы											ihr; Sie
газе_та									Zeitung
где?										wo?
гео_лог									Geologe
господи_н								Herr (Anrede)
госпожа_								Frau (Anrede)
грамма_тика							Grammatik
да											ja
Дава_йте познако_мимся!	Machen wir uns (miteinander) bekannt!
доска_									Tafel
журна_л									Zeitschrift
журнали_ст							Journalist
здесь										hier
Здра_вствуй!						Guten Tag (du)
Здра_вствуйте!					Guten Tag (ihr, Sie)
и												und
Извини_те!							Entschuldigen Sie!
и_ли										oder
инжене_р								Ingeneur
капита_н								Kapitän
ка_рта									Karte, Landkarte
кни_га									Buch
кто?										Wer?
ла_мпа									Lampe
лю_ди										Menschen, Leute
меня_ зову_т…						Mein Name (ist)
мы											wir
не											nicht
не_мец, не_мцы					Deutscher
не_мка, не_мки					Deutsche
нет											Nein
Ничего_.								Macht nichts.
окно_										Fenster
он											er
она_										sie
оно_										es
они_										sie (pl.)
о_чень									sehr
письмо_									Brief
пожа_луйста							bitte
Познако_мьтесь, пожа_луйста!	Machen Sie sich bitte miteinander bekannt!
преподава_тель					Lehrer (für Erwachsene)
прия_тно								angenehm
речевы_е образцы_				Mustersätze
ро_за										Rose
ру_сский								Russe
ру_сская								Russin
ру_сские								Russen
ру_чка									Füller, Füllfederhalter, Kugelschreiber
страна_									Land
с удово_льствием				mit Vergnügen, gerne
секрета_рь							SekretärIn
стол										Tisch
студе_нт								Student
студе_нтка							Studentin
стул										Stuhl
стюарде_сса							Stewardess
там											dort
ты											du
уро_к										Unterrichtsstunde
что?										Was?
шофёр										Chauffeur, Fahrer
э_то										das
я												ich
