а												und,aber
Алло_!									Hallo!
ва_за										Vase
Вы											ihr; Sie
газе_та									Zeitung
где?										wo?
гео_лог									Geologe
господи_н								Herr (Anrede)
госпожа_								Frau (Anrede)
грамма_тика							Grammatik
да											ja
Дава_йте познако_мимся!	Machen wir uns (miteinander) bekannt!
доска_									Tafel
журна_л									Zeitschrift
журнали_ст							Journalist
здесь										hier
Здра_вствуй!						Guten Tag (du)
Здра_вствуйте!					Guten Tag (ihr, Sie)
и												und
Извини_те!							Entschuldigen Sie!
и_ли										oder
инжене_р								Ingeneur
