преподава_тель					Lehrer (für Erwachsene)
прия_тно								angenehm
речевы_е образцы_				Mustersätze
ро_за										Rose
ру_сский								Russe
ру_сская								Russin
ру_сские								Russen
ру_чка									Füller, Füllfederhalter, Kugelschreiber
страна_									Land
с удово_льствием				mit Vergnügen, gerne
секрета_рь							SekretärIn
стол										Tisch
студе_нт								Student
студе_нтка							Studentin
стул										Stuhl
стюарде_сса							Stewardess
там											dort
ты											du
уро_к										Unterrichtsstunde
что?										Was?
шофёр										Chauffeur, Fahrer
э_то										das
я												ich
