альбо_м						Album
балко_н						Balkon
в							in
ва_нная						Badezimmer
ваш, ва_ша, ва_ше			euer, eure, euer; Ihr, Ihre, Ihr (zu Вы)
вот							hier, da
гости_ная					Wohnzimmer
гуля_ть, -ю, ешь, …, ют		spazieren (gehen)
два							zwei
день						Tag
дива_н						Sofa, Couch
До_брый день!				Guten Tag!
дом							Haus
его_						sein, seine, sein (zu он)
её							ihr, ihre, ihr (zu она_)
же							denn
жить, живу_, живёшь, …, -у_т	leben, wohnen
знать, -ю, -ешь, …, -ют		wissen, kennen
их							ihr, ihre, ihr (zu они_)
Как пожива_ете?				Wie geht es Ihnen?
кварти_ра					Wohnung
ко_мната					Zimmer
коридо_р					Flur, Korridor
кре_сло						Sessel
