ку_хня						Küche
лежа_ть, лежу_, -и_шь, …, -а_т	liegen
мой, моя_, моё				mein, meine, mein (zu я)
на							auf, in
на мо_ре					am Meer
наш, на_ша, на_ше			unser, unsere, unser (zu мы)
но_мер						Nummer
оди_н						eins, ein
парк						Park
пол							(Fuß-)Boden
по_лка						Regal
рабо_та						Arbeit
рабо_тать, -ю, -ешь, …, -ют	arbeiten
разгова_ривать, -ю, -ешь, …, -ют	reden, sich unterhalten, sprechen
сиде_ть, сижу_, сиди_шь, …, -я_т	sitzen
Смотри_!					Schau!, Sieh!
соба_ка						Hund
сосе_д						Nachbar
спа_льня					Schlafzimmer
спаси_бо					danke
твой, твоя, твоё			dein, deine, dein (zu ты)
туале_т						Toilette
чей? чья? чьё?				wessen?
