библиоте_ка				Bibliothek
блин					dünner, flacher Pfannkuchen
бока_л					Weinglas
борщ					Borschtsch (rote Gemüsesuppe)
буфе_т					Theke in öffentlichen Einrichtungen, Studentenimbiss
бы_стро					schnell
ве_чер, -а_				Abend
ве_чером				am Abend			
вил_ка					Gabel
вино_, ви_на			Wein
вку_сно					schmackhaft, lecker
вме_сте					zusammen
всегда_					immer
Герма_ния				Deutschland
гость, -и				Gast
гото_в					fertig
гото_вить, гото_влю, гото_вишь, …, -ят	zubereiten, kochen
днём					am Tage
до + Genitiv			bis
До_брое у_тро!			Guten Morgen!
еда_					Essen
есть, ем, ешь, ест, еди_м, еди_те, едя_т	essen
ждать, жду, ждёмь, …, -ут	warten
за_втрак, -и				Frühstück
за_втракать				frühstücken
затем					dann
зачем?					wozu? warum?
идти_, иду_, идёшь, …, иду_т	gehen
из + Gen				aus
кафе_ indekl.			Café, Kaffeehaus
когда_?					wann?
кого_?					Gen./Akk. von KTO?
куда_?					wohin?
лимона_д				Limonade
ло_жка, -и				Löffel
молоко_					Milch
мука_					Mehl
накрыва_ть на стол		den Tisch decken
напи_ток, напи_тка, напи_тки	Getränk
нож, -и_, ей			Messer
обе_ц					Mittagsessen, Hauptmahlzeit
обе_дать				zu Mittag essen
обы_чно					gewöhnlich, üblicherweise
о_вощи, -е_й			Gemüse
осо_бенно				besonders
отку_да?				woher?
относи_ть, отношу_, отно_сишь, …, -ят	wegtragen
пи_во					Bier
пить, пью, пьёшь, …, -ют	trinken
покупа_ть				kaufen
по_сле + Gen.			nach
почему_?				warum?
прибо_р					Gedeck
роди_тели, -ей			Eltern
ры_нок					Markt
салфе_тка, -и, -ток		Serviette
самова_р				Samowar
саха_р					Zucker
сего_дня				heute
ско_ро					bald
соль					Salz
спеши_ть, -шу_, -и_шь, …, -а_т	eilen; hasten
сыт, -а_, -о; -ы		satt
сюрпри_з				Überraschung
так						so
таре_лка, -и, -лок		Teller
те_сто					Teig
тру_дно					schwierig, schwer
уже_					schon
у_жин					Abendessen
у_жинать				zu Abend essen
у_тро					Morgen
у_тром					am Morgen
фру_кты					Obst
хлеб					Brot
холоди_льник, -и		Kühlschrank
хоте_ть, хочу_, хо_чешь, хо_чет, хоти_м, -и_те, -я_т	wollen
чай						Tee
ча_сто					oft
яйцо_, я_йца, яй_ц		Ei
