библиоте_ка				Bibliothek
блин					dünner, flacher Pfannkuchen
бока_л					Weinglas
борщ					Borschtsch (rote Gemüsesuppe)
буфе_т					Theke in öffentlichen Einrichtungen, Studentenimbiss
бы_стро					schnell
ве_чер, -а_				Abend
ве_чером				am Abend			
вил_ка					Gabel
вино_, ви_на			Wein
вку_сно					schmackhaft, lecker
вме_сте					zusammen
всегда_					immer
Герма_ния				Deutschland
гость, -и				Gast
гото_в					fertig
гото_вить, гото_влю, гото_вишь, …, -ят	zubereiten, kochen
днём					am Tage
до + Genitiv			bis
До_брое у_тро!			Guten Morgen!
