все						alle
всё						alles, ganz
вся						ganz
весь					ganz
го_рол, -а (Nom. Pl.)	Stadt
гостеприи_мство			Gastfreundschaft
далеко_					weit
де_ти, -е_й (Gen.)		Kinder
Добро_ пожа_ловать!		Herzlich willkommen!
До_брый ве_чер!			Guten Abend
до_лго					lange
за_втра					morgen
заку_ска, -и (Nom. Pl.)	Vorspeise
зна_чить, -чу, -чишь, …, -ат	bedeuten
идти_ в го_сти			zu Besuch gehen
интере_сно				interessant
Как пройти_…?			Wie kommt man …?
колбаса_				Wurst
ма_сло					Butter
мно_го					viel
на за_втрак				zum Frühstück
на обе_д				zum Mittagessen
на у_жин				zum Abendessen
нача_ло					Anfang, Beginn
конец					Ende
начина_ть				anfangen, beginnen
недалеко_				nicht weit, in der Nähe
немно_го				ein wenig, etwas
но						aber
обе_д по-ру_сски		Mittagessen auf russische Art
пода_рок, пода_рки (Nom. Pl.)	Geschenk
понима_ть				verstehen
потому_ что				weil
приве_тствовать, приве_тствую, -вуешь, …, -вуют	grüßen, begrüßen
приноси_ть, приношу_, прино_сишь, …, -ят	bringen
Прия_тного аппети_та!	Guten Appetit!
рома_н					Roman
сала_т					Salat
сло_во, -а (Nom. Pl.)	Wort
стоя_ть					stehen
сыр, -ы (Nom. Pl.)		Käse
так						so
э_то так?				Stimmt das? Ist das so?
тепе_рь					jetzt
то_лько					nur
у_лица, -ы (Nom. Pl.)	Straße
хозя_ин, хозя_ева (Nom. Pl.)	Gastgeber
хозя_йка, -и (Nom. Pl.), хозя_ек (Gen. Pl.)	Gastgeberin
центр					Zentrum
ч_ашка, -и (Nom. Pl.), -шек (Gen. Pl.)	Tasse
что						dass
чьи? (Pl.)				wessen?
Э_то что за у_лица?		Was für eine Straße ist das?
