все						alle
всё						alles, ganz
вся						ganz
весь					ganz
го_род, -а (Nom. Pl.)	Stadt
гостеприи_мство			Gastfreundschaft
далеко_					weit
де_ти, -е_й (Gen.)		Kinder
Добро_ пожа_ловать!		Herzlich willkommen!
До_брый ве_чер!			Guten Abend
до_лго					lange
за_втра					morgen
заку_ска, -и (Nom. Pl.)	Vorspeise
зна_чить, -чу, -чишь, …, -ат	bedeuten
идти_ в го_сти			zu Besuch gehen
интере_сно				interessant
Как пройти_…?			Wie kommt man …?
колбаса_				Wurst
ма_сло					Butter
мно_го					viel
на за_втрак				zum Frühstück
на обе_д				zum Mittagessen
на у_жин				zum Abendessen
нача_ло					Anfang, Beginn
конец					Ende
начина_ть				anfangen, beginnen
