авто_бус			Bus
автомоби_ль			Auto
акваре_льная кра_ска	Aquarellfarbe
анке_та				Fragenbogen
архитекту_ра		Architektur
без + Gen.			ohne
бе_лый				weiß		
брать, беру, -ёшь, …, -ут	nehmen
в					am
вас					Gen., Akk., Präp. von Вы
везде_				überall
велосипе_д			Fahrrad
ве_тер				Wind
вода_				Wasser
вокза_л				Bahnhof
воскресе_нье		Sonntag
впервы_е			zum ersten Mal
впечатле_ние		Eindruck
весь				ganz
вся семья_			die ganze Familie
встре_ча			Begegnung
вто_рник			Dienstag
гара_ж				Garage
год					Jahr
голубо_й			hellblau
гора_				Berg
густо_й				dicht
дере_вня			Dorf
До встре_чи.		Bis bald.
его_				Gen./Akk. von он
е_здить, езжу, ездишь, …, ездят	fahren
е_хать, еду, едешь, …, едут	fahren
жёлтый				gelb
загора_ть			sich sonnen
за_ город			ins Grüne, aufs Land
звать				rufen
зелёный				grün
интервью_			Interview
интере_сный			interessant
их					Gen./Akk. von они
к					zu
како_й				welcher
кани_кулы			Ferien
класс				Klasse
кому_?				Dativ von kto
кори_чневый			braun
краси_вый			schön, hübsch
кра_ска				Farbe
кра_сный			rot
кста_ти				übrigens
купа_ться			baden
лес					Wald
луг					Wiese
ма_ленький			klein
маши_на				Auto
меня_				Gen./Akk. von я
ме_стность			Gegend, Landstrich, Ort, Gelände
ме_сто				Platz, Gegend
ме_сяц				Monat
метро_				U-Bahn
мост				Brücke
на					mit, an
нас					Gen./Akk. von мы
начина_ться			beginnen, anfangen
неде_ля				Woche
ночь				Nacht
обходи_ться, обхожу_сь, обхо_дишься, …, -ятся	auskommen können (ohne)
от					von
о_тпуск				Urlaub
пала_тка			Zelt
парохо_д			Dampfer
петь, пою_, поёшь, …, пою_т	singen
пешко_м				zu Fuß
пого_да				Wetter
по_езд				Zug
понеде_льник		Montag
похо_д				Wanderung
поэ_тому			deshalb, deswegen
предпочита_ть		vorziehen, bevorzugen
прекра_сный			schön
приро_да			Natur
проводи_ть, провожу_, -во_дишь, …,-ят	verbringen (die Zeit)
провожа_ть			zum Bahnhof bringen, verabschieden
пти_ца				Vogel
пя_тница			Freitag
ра_дио				Radio, Rundfunk
ра_доваться			sich freuen
ра_достный			froh, vergnügt
ра_но				früh
река_				Fluss
рюкза_к				Rucksack
ря_дом				in der Nähe, nebenan
свобо_да			Freiheit
свобо_дное вре_мя	Freizeit
се_рый				grau
си_ний				blau
слу_шать			hören
собира_ть			packen, sammeln
со_лнце				Sonne
сосе_дка			Nachbarin
среда_				Mittwoch
суббо_та			Samstag
тако_й				solcher
такси_				Taxi
тебе_				Dat. von ты
тебя_				Gen./Akk. von ты
трамва_й			Straßenbahn
тури_ст				Tourist
у					bei
уходи_ть в о_тпуск	in Urlaub gehen
фами_лия			Familienname
ходи_ть, хожу_, хо_дишь, …, хо_дят	gehen
хоро_ший			gut
цвет				Farbe
цвето_к				Blume
чему_?				Dat. von что
че_рез				in, nach (zeitl.), über (räuml.)
чёрный				schwarz
четве_рг			Donnerstag
шко_ла				Schule
