ещё										noch, schon
изве_стний, -ая, -ое; -ые				bekannt
инструме_нт								Werkzeug
карти_на								Bild
кипе_ть, кипи_т, кипя_т					kochen (uv.)
коне_чно								natürlich
купи_ть, куплю_, ку_пишь, …, -ят		kaufen (v.)
ле_том									im Sommer
люби_мая пе_сня							Lieblingslied
ма_ло									wenig
Мо_жно…?								Darf ich?
музе_й, -и, -ев							Museum
му_зыка									Musik
наве_рное								wahrscheinlich, sicherlich
налива_ть, -ю, -ешь, …, -ют				einschenken (uv.)
написа_ть, напишу_, напи_шешь, …, -ют	schreiben (v.)
нарисова_ть, нарису_ю, -ешь, …, -ют		zeichnen, malen (v.)
настоя_щий, -ая, -ее; -ие				richtig, wahr, echt
неинтере_сно							uninteressant
Непра_вда!								Das ist nicht wahr!
ну										na, so
