обеща_ть								versprechen (uv.)
пообеща_ть								versprechen (v.)
обяза_тельно							unbedingt
отвеча_ть								antworten (uv.)
отве_тить								antworten (v.)
пе_сня, пе_сен							Lied
вприку_ску								Zuckerwürfel
пить чай вприку_ску						Tee trinken und dabei ab und zu von einem Zuckerwürfel abbeißen
по вечера_м								abends
пока_									hier: vorerst, vorläufig
подари_ть, подарю_, пода_ришь, …, -ят	schenken (v.)
подписа_ть, подпишу_, подпи_шешь, …, -ут	unterschreiben (v.)
подписывать								unterschreiben (uv.)
получи_ть, получу_, полу_чишь, …, -ат	erhalten (v.)
получа_ть								erhalten (uv.)
по_мнить, -ю, -ишь, …, -ят				hier: sich erinnern (uv.)
поня_ть, пойму_, -ёшь, …, -ут			verstehen, begreifen (v.)
постро_ить, постро_ю, -ишь, …, -ят		bauen (v.)
пра_здновать, пра_здную, -ешь, …, -ют	feiern (uv.)
пригласи_ть, приглашу_, -аси_шь, …, -я_т	einladen (v.)
приглаша_ть								einladen (uv.)
