поэ_тому			deshalb, deswegen
вто_рник			Dienstag
понеде_льник		Montag
свобо_дное вре_мя	Freizeit
приро_да			Natur
чему_?				Dat. von что
впервы_е			zum ersten Mal
свобо_да			Freiheit
нас					Gen./Akk. von мы
тако_й				solcher
пешко_м				zu Fuß
ме_сто				Platz, Gegend
ве_тер				Wind
без	+ Gen.			ohne
ма_ленький			klein
встре_ча			Begegnung
ме_стность			Gegend, Landstrich, Ort, Gelände
от					von
обходи_ться, обхожу_сь, обхо_дишься, …, -ятся	auskommen können (ohne)
проводи_ть, провожу_, -во_дишь, …,-ят	im Freien, draußen
краси_вый			schön, hübsch
пя_тница			Freitag
ря_дом				in der Nähe, nebenan
среда_				Mittwoch
четве_рг			Donnerstag
предпочита_ть		vorziehen, bevorzugen
кста_ти				übrigens
кому_?				Dativ von kto
парохо_д			Dampfer
год					Jahr
похо_д				Wanderung
пого_да				Wetter
неде_ля				Woche
кра_ска				Farbe
за_ город			ins Grüne, aufs Land
загора_ть			sich sonnen
гора_				Berg
собира_ть			packen, sammeln
кори_чневый			braun
прекра_сный			schön
кани_кулы			Ferien
ме_сяц				Monat
ра_доваться			sich freuen
их					Gen./Akk. von они
начина_ться			beginnen, anfangen
како_й				welcher
ра_достный			froh, vergnügt
в					am
вокза_л				Bahnhof
голубо_й			hellblau
у					bei
везде_				überall
велосипе_д			Fahrrad
че_рез				in, nach (zeitl.), über (räuml.)
ра_но				früh
анке_та				Fragenbogen
купа_ться			baden
река_				Fluss
пала_тка			Zelt
впечатле_ние		Eindruck
к					zu
звать				rufen
со_лнце				Sonne
провожа_ть			zum Bahnhof bringen, verabschieden
чёрный				schwarz
слу_шать			hören
брать, беру, -ёшь, …, -ут	nehmen
сосе_дка			Nachbarin
густо_й				dicht
дере_вня			Dorf
